Track_photon_ID	Energy_MeV	Wavelength_nm	Time_ns
40098	6.7092	184.797	21.6942
40097	7.36324	168.383	18.2848
40096	7.06613	175.463	17.851
40411	7.09127	174.841	20.4722
40410	6.90514	179.553	20.4368
40409	7.28619	170.163	21.5162
40408	7.20158	172.163	23.0113
40407	7.34824	168.726	18.532
40406	7.34088	168.896	20.4857
40405	6.88378	180.111	23.5468
40404	6.82205	181.74	20.6612
40403	6.9573	178.207	26.1756
40402	6.96708	177.957	19.8271
40401	7.32194	169.333	23.9273
40400	6.93497	178.781	27.0463
40399	7.03017	176.36	19.4187
40398	7.33553	169.019	18.9307
40397	6.83674	181.35	23.3783
40396	7.06286	175.544	22.8257
40395	7.04596	175.965	22.635
40394	6.89699	179.766	22.1867
40393	7.0166	176.701	17.6766
40392	7.02361	176.525	22.0965
40391	6.94754	178.458	24.255
40390	6.9935	177.285	19.0448
40389	6.90817	179.475	19.4433
40388	6.8254	181.651	18.6965
40387	7.3481	168.73	19.4672
40386	6.94744	178.46	18.7435
40385	7.39776	167.597	25.1877
40384	6.70533	184.904	19.1796
40383	6.91	179.427	17.9146
40382	6.90983	179.432	18.84
40381	7.37068	168.213	20.3443
40380	6.9008	179.666	22.4208
40379	7.35322	168.612	23.6783
40378	7.02216	176.561	19.5699
40377	6.90149	179.649	23.9879
40376	6.97086	177.861	17.8389
40375	7.07546	175.231	18.6162
40374	6.96077	178.119	19.5221
40373	7.01849	176.654	20.6789
40372	7.00008	177.118	23.7128
40371	6.97691	177.707	19.3787
40370	7.2936	169.991	17.9722
40369	7.32837	169.184	21.7468
40368	7.07539	175.233	19.5668
40367	6.85198	180.947	20.3485
40366	6.93354	178.818	17.8898
40365	7.24736	171.075	17.7737
40364	7.30011	169.839	20.2888
40363	6.81494	181.93	24.5626
40362	7.04936	175.88	18.4075
40361	6.72396	184.392	22.4744
40360	7.39958	167.556	23.1238
40359	6.92425	179.058	18.9458
40358	7.01533	176.733	18.8909
40357	6.98524	177.494	19.9113
40356	7.02804	176.414	19.0459
40355	6.71125	184.741	21.3799
40354	6.71179	184.726	22.4955
40353	7.03687	176.192	22.2624
40352	6.93918	178.673	19.348
40351	6.8629	180.659	20.397
40350	6.97035	177.874	19.7529
40349	7.08654	174.957	19.0982
40348	6.9633	178.054	21.0349
40347	6.94718	178.467	23.6024
40346	6.98925	177.393	23.782
